Adana; 15
MP; 3.67; 0
YSP; 2.74; 0
BBP; 1.97; 0
YRP; 1.82; 0
ZP; 1.66; 0
TIP; 1.63; 0

Denizli; 8
CHP; 32.37; 3
AKP; 28.55; 3
IYIP; 20.64; 2
MP; 5.33; 0
MHP; 3.59; 0
YSP; 2.94; 0
TIP; 2.25; 0
BBP; 1.51; 0
YRP; 1.44; 0
ZP; 1.39; 0

Diyarbakir; 12
YSP; 62.67; 8
AKP; 22.99; 3
CHP; 8.23; 1
IYIP; 2.75; 0
MHP; 1.13; 0
YRP; 0.80; 0
BBP; 0.69; 0
MP; 0.53; 0
ZP; 0.22; 0

Duzce; 3
AKP; 44.16; 2
CHP; 31.72; 1
MHP; 12.40; 0
MP; 2.66; 0
BBP; 2.23; 0
ZP; 2.10; 0
YRP; 1.97; 0
YSP; 1.60; 0
TIP; 1.15; 0

Edirne; 4
CHP; 43.46; 2
IYIP; 20.39; 1
AKP; 17.35; 1
MP; 8.14; 0
TIP; 3.56; 0
YSP; 2.32; 0
MHP; 1.82; 0
YRP; 1.02; 0
BBP; 1.01; 0
ZP; 0.93; 0

Elazig; 5
AKP; 45.89; 4
CHP; 17.38; 1
IYIP; 10.75; 0
YSP; 9.35; 0
MHP; 8.91; 0
MP; 2.10; 0
BBP; 2.06; 0
YRP; 1.95; 0
ZP; 1.61; 0

Erzincan; 2
CHP; 38.23; 1
AKP; 32.81; 1
MHP; 12.94; 0
MP; 4.34; 0
YSP; 4.12; 0
TIP; 2.07; 0
ZP; 2.03; 0
BBP; 1.89; 0
YRP; 1.57; 0

Erzurum; 6
AKP; 46.70; 4
MHP; 12.30; 1
CHP; 12.13; 1
YSP; 10.99; 0
IYIP; 10.48; 0
BBP; 2.22; 0
ZP; 2.15; 0
YRP; 1.96; 0
MP; 1.07; 0

Eskisehir; 7
CHP; 34.66; 3
AKP; 26.47; 2
IYIP; 18.62; 2
MP; 5.88; 0
MHP; 4.55; 0
YSP; 3.01; 0
TIP; 2.57; 0
BBP; 1.47; 0
