AKP; 32.19; -10.41; 233
CHP; 26.87; 4.27; 147
IYIP; 14.28; 4.28; 93
YSP; 10.31; -1.39; 62
MHP; 6.21; -4.89; 20
MP; 4.13; 4.13; 0
BBP; 1.62; 1.62; 0
YRP; 1.52; 1.52; 0
TIP; 1.46; 1.46; 1
ZP; 1.41; 1.41; 0
SP; 0.00; -1.30; 10
DEVA; 0.00; 0.00; 13
GP; 0.00; 0.00; 8
DP; 0.00; 0.00; 2
HUDAPAR; 0.00; -0.42; 2
EMEP; 0.00; 0.00; 7
DSP; 0.00; 0.00; 2
