Adana; 15
ZP; 1.92; 0
BBP; 0.79; 0
YRP; 3.04; 0
DP; 0.04; 0
HUDAPAR; 0.15; 0

Bilecik; 2
AKP; 31.17; 1
MHP; 4.39; 0
CHP; 31.43; 1
IYIP; 17.97; 0
SP; 0.67; 0
YSP; 3.01; 0
DEVA; 1.44; 0
GP; 0.99; 0
TIP; 1.99; 0
MP; 2.65; 0
ZP; 0.85; 0
BBP; 0.49; 0
YRP; 2.23; 0
DP; 0.13; 0
HUDAPAR; 0.30; 0

Bingol; 3
AKP; 45.39; 2
MHP; 4.76; 0
CHP; 5.64; 0
IYIP; 6.06; 0
SP; 0.62; 0
YSP; 25.24; 1
DEVA; 1.72; 0
GP; 1.33; 0
TIP; 0.76; 0
MP; 0.28; 0
ZP; 0.46; 0
BBP; 0.57; 0
YRP; 2.82; 0
DP; 0.03; 0
HUDAPAR; 4.08; 0

Bitlis; 3
AKP; 37.57; 1
MHP; 3.39; 0
CHP; 4.95; 0
IYIP; 4.67; 0
SP; 0.72; 0
YSP; 40.24; 2
DEVA; 1.40; 0
GP; 1.13; 0
TIP; 1.15; 0
MP; 0.30; 0
ZP; 0.32; 0
BBP; 0.46; 0
YRP; 2.30; 0
DP; 0.02; 0
HUDAPAR; 1.04; 0

Bolu; 3
AKP; 35.59; 2
MHP; 9.55; 0
CHP; 27.03; 1
IYIP; 13.93; 0
SP; 0.85; 0
YSP; 1.88; 0
DEVA; 1.69; 0
GP; 1.19; 0
TIP; 1.43; 0
MP; 1.88; 0
ZP; 1.13; 0
BBP; 0.62; 0
YRP; 2.69; 0
DP; 0.09; 0
HUDAPAR; 0.18; 0

Burdur; 3
AKP; 30.54; 1
MHP; 4.25; 0
CHP; 26.98; 1
IYIP; 24.83; 1
SP; 0.94; 0
YSP; 1.75; 0
DEVA; 1.41; 0
GP; 0.99; 0
TIP; 1.42; 0
MP; 2.11; 0
ZP; 1.16; 0
BBP; 0.52; 0
YRP; 2.24; 0
DP; 0.15; 0
HUDAPAR; 0.30; 0

Bursa I; 10
AKP; 31.11; 4
MHP; 4.70; 0
CHP; 29.69; 4
IYIP; 18.24; 2
SP; 1.00; 0
YSP; 4.28; 0
DEVA; 1.43; 0
GP; 1.00; 0
TIP; 1.86; 0
MP; 2.45; 0
ZP; 0.89; 0
BBP; 0.49; 0
YRP; 2.25; 0
DP; 0.13; 0
HUDAPAR; 0.16; 0

Bursa II; 10
AKP; 35.47; 5
MHP; 6.81; 0
CHP; 24.85; 3
IYIP; 15.00; 2
SP; 1.03; 0
YSP; 6.07; 0
DEVA; 1.60; 0
GP; 1.14; 0
TIP; 1.48; 0
MP; 1.85; 0
ZP; 0.94; 0
BBP; 0.57; 0
YRP; 2.56; 0
DP; 0.10; 0
HUDAPAR; 0.27; 0

Canakkale; 4
AKP; 27.28; 1
MHP; 2.66; 0
CHP; 34.97; 2
IYIP; 19.79; 1
SP; 0.48; 0
YSP; 3.32; 0
DEVA; 1.28; 0
GP; 0.86; 0
TIP; 2.38; 0
MP; 3.18; 0
ZP; 0.74; 0
BBP; 0.41; 0
YRP; 1.91; 0
DP; 0.16; 0
HUDAPAR; 0.18; 0

Cankiri; 2
AKP; 39.65; 2
MHP; 11.61; 0
CHP; 18.24; 0
IYIP; 18.66; 0
SP; 0.59; 0
YSP; 1.03; 0
DEVA; 1.86; 0
GP; 1.35; 0
TIP; 0.48; 0
MP; 0.81; 0
ZP; 1.49; 0
BBP; 0.73; 0
YRP; 3.02; 0
DP; 0.08; 0
HUDAPAR; 0.16; 0

Corum; 4
AKP; 35.98; 2
MHP; 9.02; 0
CHP; 26.49; 1
IYIP; 13.47; 1
SP; 0.61; 0
YSP; 3.30; 0
DEVA; 1.68; 0
GP; 1.19; 0
TIP; 1.46; 0
MP; 1.88; 0
ZP; 1.07; 0
BBP; 0.61; 0
YRP; 2.66; 0
DP; 0.09; 0
HUDAPAR; 0.23; 0

Denizli; 8
AKP; 29.38; 3
MHP; 3.76; 0
CHP; 31.31; 3
IYIP; 20.20; 2
SP; 0.52; 0
YSP; 3.61; 0
DEVA; 1.36; 0
GP; 0.94; 0
TIP; 2.00; 0
MP; 2.69; 0
ZP; 0.88; 0
BBP; 0.47; 0
YRP; 2.08; 0
DP; 0.15; 0
HUDAPAR; 0.24; 0

Diyarbakir; 12
AKP; 18.58; 2
MHP; 1.19; 0
CHP; 3.36; 0
IYIP; 3.40; 0
SP; 1.35; 0
YSP; 62.82; 10
DEVA; 0.67; 0
GP; 0.65; 0
TIP; 1.65; 0
MP; 0.27; 0
ZP; 0.14; 0
BBP; 0.21; 0
YRP; 1.16; 0
DP; 0.02; 0
HUDAPAR; 4.32; 0

Duzce; 3
AKP; 36.97; 2
MHP; 13.18; 0
CHP; 23.41; 1
IYIP; 12.93; 0
SP; 0.81; 0
YSP; 1.87; 0
DEVA; 1.79; 0
GP; 1.28; 0
TIP; 1.03; 0
MP; 1.36; 0
ZP; 1.35; 0
BBP; 0.70; 0
YRP; 2.89; 0
DP; 0.07; 0
HUDAPAR; 0.12; 0

Edirne; 4
AKP; 20.56; 1
MHP; 1.91; 0
CHP; 43.49; 2
IYIP; 17.99; 1
SP; 0.68; 0
YSP; 3.19; 0
DEVA; 1.04; 0
GP; 0.66; 0
TIP; 3.17; 0
MP; 4.13; 0
ZP; 0.59; 0
BBP; 0.31; 0
YRP; 1.48; 0
DP; 0.18; 0
HUDAPAR; 0.21; 0

Elazig; 5
AKP; 39.37; 3
MHP; 9.35; 0
CHP; 17.58; 1
IYIP; 12.29; 1
SP; 0.99; 0
YSP; 9.29; 0
DEVA; 1.73; 0
GP; 1.27; 0
TIP; 0.96; 0
MP; 1.06; 0
ZP; 1.02; 0
BBP; 0.63; 0
YRP; 2.82; 0
DP; 0.06; 0
HUDAPAR; 1.39; 0

Erzincan; 2
AKP; 28.28; 1
MHP; 13.78; 0
CHP; 31.41; 1
IYIP; 9.75; 0
SP; 0.65; 0
YSP; 5.08; 0
DEVA; 1.48; 0
GP; 1.03; 0
TIP; 1.86; 0
MP; 2.22; 0
ZP; 1.30; 0
BBP; 0.59; 0
YRP; 2.30; 0
DP; 0.07; 0
HUDAPAR; 0.09; 0

Erzurum; 6
AKP; 37.63; 3
MHP; 12.91; 1
CHP; 14.05; 1
IYIP; 13.79; 1
SP; 1.01; 0
YSP; 11.21; 0
DEVA; 1.72; 0
GP; 1.28; 0
TIP; 0.57; 0
MP; 0.54; 0
ZP; 1.36; 0
BBP; 0.68; 0
YRP; 2.83; 0
DP; 0.05; 0
HUDAPAR; 0.18; 0

Eskisehir; 7
AKP; 27.27; 3
MHP; 4.79; 0
CHP; 34.95; 3
IYIP; 17.13; 1
SP; 0.69; 0
YSP; 3.80; 0
DEVA; 1.31; 0
GP; 0.89; 0
TIP; 2.29; 0
MP; 2.98; 0
ZP; 0.88; 0
BBP; 0.45; 0
YRP; 2.00; 0
DP; 0.14; 0
HUDAPAR; 0.12; 0

Gaziantep; 14
AKP; 36.99; 6
