Adana; 15
DP; 0.09; 0
HUDAPAR; 0.14; 0

Siirt; 3
AKP; 32.91; 1
MHP; 3.08; 0
CHP; 4.32; 0
IYIP; 2.78; 0
SP; 0.64; 0
YSP; 48.48; 2
DEVA; 1.22; 0
GP; 1.02; 0
TIP; 1.33; 0
MP; 0.25; 0
ZP; 0.26; 0
BBP; 0.40; 0
YRP; 2.00; 0
DP; 0.01; 0
HUDAPAR; 1.13; 0

Sinop; 2
AKP; 41.53; 1
MHP; 4.39; 0
CHP; 27.01; 1
IYIP; 12.71; 0
SP; 0.59; 0
YSP; 1.79; 0
DEVA; 1.80; 0
GP; 1.26; 0
TIP; 1.69; 0
MP; 2.22; 0
ZP; 0.63; 0
BBP; 0.58; 0
YRP; 2.83; 0
DP; 0.10; 0
HUDAPAR; 0.30; 0

Sivas; 5
AKP; 35.78; 2
MHP; 13.30; 1
CHP; 24.10; 1
IYIP; 13.05; 1
SP; 0.96; 0
YSP; 1.99; 0
DEVA; 1.75; 0
GP; 1.25; 0
TIP; 1.08; 0
MP; 1.42; 0
ZP; 1.37; 0
BBP; 0.69; 0
YRP; 2.83; 0
DP; 0.07; 0
HUDAPAR; 0.12; 0

Sanliurfa; 14
AKP; 41.20; 7
MHP; 8.02; 1
CHP; 8.11; 1
IYIP; 4.59; 0
SP; 0.76; 0
YSP; 27.17; 5
DEVA; 1.65; 0
GP; 1.27; 0
TIP; 0.92; 0
MP; 0.36; 0
ZP; 0.64; 0
BBP; 0.58; 0
YRP; 2.70; 0
DP; 0.02; 0
HUDAPAR; 1.47; 0

Sirnak; 4
AKP; 15.26; 0
MHP; 3.47; 0
CHP; 3.73; 0
IYIP; 2.73; 0
SP; 0.38; 0
YSP; 67.41; 4
DEVA; 0.57; 0
GP; 0.59; 0
TIP; 1.78; 0
MP; 0.27; 0
ZP; 0.30; 0
BBP; 0.21; 0
YRP; 0.93; 0
DP; 0.02; 0
HUDAPAR; 2.04; 0

Tekirdag; 7
AKP; 24.74; 2
MHP; 3.80; 0
CHP; 38.60; 4
IYIP; 14.96; 1
SP; 0.50; 0
YSP; 5.78; 0
DEVA; 1.21; 0
GP; 0.81; 0
TIP; 2.74; 0
MP; 3.44; 0
ZP; 0.69; 0
BBP; 0.39; 0
YRP; 1.78; 0
DP; 0.14; 0
HUDAPAR; 0.13; 0

Tokat; 5
AKP; 33.28; 2
MHP; 10.13; 0
CHP; 27.95; 2
IYIP; 15.05; 1
SP; 0.73; 0
YSP; 1.88; 0
DEVA; 1.62; 0
GP; 1.14; 0
TIP; 1.45; 0
MP; 1.92; 0
ZP; 1.24; 0
BBP; 0.62; 0
YRP; 2.57; 0
DP; 0.09; 0
HUDAPAR; 0.15; 0

Trabzon; 6
AKP; 39.76; 3
MHP; 7.92; 0
CHP; 22.61; 2
IYIP; 16.40; 1
SP; 1.35; 0
YSP; 1.23; 0
DEVA; 1.79; 0
GP; 1.28; 0
TIP; 1.06; 0
MP; 1.50; 0
ZP; 1.08; 0
BBP; 0.65; 0
YRP; 2.93; 0
DP; 0.09; 0
HUDAPAR; 0.11; 0

Tunceli; 2
AKP; 11.19; 0
MHP; 4.61; 0
CHP; 25.83; 1
IYIP; 3.69; 0
SP; 0.25; 0
YSP; 46.58; 1
DEVA; 0.55; 0
GP; 0.46; 0
TIP; 2.94; 0
MP; 2.24; 0
ZP; 0.41; 0
BBP; 0.19; 0
YRP; 0.75; 0
DP; 0.06; 0
HUDAPAR; 0.11; 0

Usak; 3
AKP; 30.75; 1
MHP; 5.35; 0
CHP; 31.97; 1
IYIP; 16.91; 1
SP; 0.84; 0
YSP; 2.79; 0
DEVA; 1.45; 0
GP; 1.00; 0
TIP; 1.99; 0
MP; 2.62; 0
ZP; 0.91; 0
BBP; 0.50; 0
YRP; 2.25; 0
DP; 0.13; 0
HUDAPAR; 0.24; 0

Van; 8
AKP; 26.96; 2
MHP; 2.72; 0
CHP; 4.03; 0
IYIP; 2.26; 0
SP; 0.59; 0
YSP; 56.53; 6
DEVA; 1.00; 0
GP; 0.87; 0
TIP; 1.52; 0
MP; 0.25; 0
ZP; 0.22; 0
BBP; 0.32; 0
YRP; 1.63; 0
DP; 0.01; 0
HUDAPAR; 0.87; 0

Yalova; 3
AKP; 32.41; 2
MHP; 4.54; 0
CHP; 30.78; 1
IYIP; 13.23; 0
SP; 0.77; 0
YSP; 7.12; 0
DEVA; 1.47; 0
GP; 1.03; 0
TIP; 2.12; 0
MP; 2.60; 0
ZP; 0.68; 0
BBP; 0.48; 0
YRP; 2.28; 0
DP; 0.11; 0
HUDAPAR; 0.18; 0

Yozgat; 4
AKP; 32.30; 2
MHP; 17.19; 1
CHP; 23.25; 1
IYIP; 14.88; 0
SP; 0.67; 0
YSP; 1.23; 0
DEVA; 1.70; 0
GP; 1.22; 0
TIP; 0.82; 0
MP; 1.13; 0
ZP; 1.76; 0
BBP; 0.73; 0
YRP; 2.73; 0
DP; 0.06; 0
HUDAPAR; 0.16; 0

Zonguldak; 5
AKP; 32.06; 2
MHP; 6.83; 0
CHP; 34.01; 2
IYIP; 12.16; 1
SP; 1.01; 0
YSP; 1.69; 0
DEVA; 1.53; 0
GP; 1.05; 0
TIP; 2.13; 0
MP; 2.74; 0
ZP; 0.85; 0
BBP; 0.53; 0
YRP; 2.39; 0
DP; 0.10; 0
HUDAPAR; 0.20; 0

