Kutahya,5,434,54.82,18.46,12.65,10.61,0,0,1.79,1.21,0,0,0,0
Malatya,6,570,53.87,16.12,16.73,4.27,0,0,1.51,7.02,0,0,0,0
Manisa,10,1074,40.15,11.45,26.34,13.56,0,0,0.93,7,0,0,0,0
Mardin,6,482,30.42,2.62,3.31,1.13,0,0,0.83,59.28,0,0,0,0
Mersin,13,1304,28.64,12.76,26.76,13.56,0,0,0.69,16.94,0,0,0,0
Mugla,7,744,28.18,6.49,40.86,16.48,0,0,0.62,6.74,0,0,0,0
Mus,4,234,32.4,3.74,2.47,4.31,0,0,0.91,54.48,0,0,0,0
Nevsehir,3,216,53.14,17.85,16.59,9,0,0,1.17,1.74,0,0,0,0
Nigde,3,246,43.83,20.75,20.21,11.84,0,0,1.2,1.66,0,0,0,0
Ordu,6,573,48.77,16.85,22.74,8.47,0,0,1.14,1.4,0,0,0,0
Osmaniye,4,367,36.27,31.68,13.54,13.35,0,0,0.98,3.59,0,0,0,0
Rize,3,259,64.85,12.41,13.04,6.01,0,0,1.87,1.43,0,0,0,0
Sakarya,7,725,58.18,13.64,13.71,9.39,0,0,2.05,2.7,0,0,0,0
Samsun,9,985,51.97,16.23,17.28,10.88,0,0,1.42,1.77,0,0,0,0
Siirt,3,184,38.97,3.52,2.55,1.59,0,0,0.94,51.07,0,0,0,0
Sinop,2,164,55.27,7.21,24.23,9.29,0,0,1.12,2,0,0,0,0
Sivas,5,462,54.69,18.99,15.22,6.81,0,0,1.75,2.18,0,0,0,0
Sanliurfa,14,1087,52.67,9.28,3.88,1.86,0,0,1.29,28.92,0,0,0,0
Sirnak,4,275,18.19,4.01,2.72,1.98,0,0,0.46,70.24,0,0,0,0
Tekirdag,7,757,34.73,7.56,38.18,11.74,0,0,0.79,6.58,0,0,0,0
Tokat,5,435,49.91,16.4,20.66,9.34,0,0,1.28,2.07,0,0,0,0
Trabzon,6,599,55.98,13.53,15.13,11.17,0,0,2.48,1.35,0,0,0,0
Tunceli,2,66,14.7,5.73,26.32,1.65,0,0,0.32,51.03,0,0,0,0
Usak,3,274,43.47,10.55,28.19,12.7,0,0,1.4,3.12,0,0,0,0
Van,8,654,31.77,3.08,2.64,1.27,0,0,0.8,59.32,0,0,0,0
Yalova,3,183,44.13,7.79,28.62,9.79,0,0,1.3,7.97,0,0,0,0
Yozgat,4,304,53.39,24.72,11.64,7.4,0,0,1.18,1.33,0,0,0,0
Zonguldak,5,459,45.97,10.87,30.77,7.81,0,0,1.76,1.9,0,0,0,0
