Adana
Kirklareli
Erdogan; 18.31
Kilicdaroglu; 76.74
Ince; 4.35
Ogan; 0.60

Kirsehir
Erdogan; 41.93
Kilicdaroglu; 54.38
Ince; 2.38
Ogan; 1.30

Kilis
Erdogan; 55.60
Kilicdaroglu; 41.41
Ince; 1.45
Ogan; 1.54

Kocaeli
Erdogan; 45.87
Kilicdaroglu; 51.27
Ince; 1.92
Ogan; 0.93

Konya
Erdogan; 62.69
Kilicdaroglu; 35.10
Ince; 1.01
Ogan; 1.19

Kutahya
Erdogan; 58.34
Kilicdaroglu; 38.94
Ince; 1.30
Ogan; 1.42

Malatya
Erdogan; 58.32
Kilicdaroglu; 39.01
Ince; 1.51
Ogan; 1.15

Manisa
Erdogan; 36.23
Kilicdaroglu; 60.26
Ince; 2.52
Ogan; 0.99

Mardin
Erdogan; 32.83
Kilicdaroglu; 66.67
Ince; 0.30
Ogan; 0.19

Mersin
Erdogan; 28.20
Kilicdaroglu; 68.18
Ince; 2.55
Ogan; 1.08

Mugla
Erdogan; 21.03
Kilicdaroglu; 74.45
Ince; 3.80
Ogan; 0.71

Mus
Erdogan; 32.89
Kilicdaroglu; 66.49
Ince; 0.30
Ogan; 0.32

Nevsehir
Erdogan; 56.05
Kilicdaroglu; 41.00
Ince; 1.60
Ogan; 1.35

Nigde
Erdogan; 46.93
Kilicdaroglu; 49.52
Ince; 1.96
Ogan; 1.59

Ordu
Erdogan; 49.89
Kilicdaroglu; 46.72
Ince; 2.11
Ogan; 1.27

Osmaniye
Erdogan; 47.87
Kilicdaroglu; 48.36
Ince; 1.43
Ogan; 2.34

Rize
Erdogan; 64.34
Kilicdaroglu; 33.51
Ince; 1.22
Ogan; 0.92

Sakarya
Erdogan; 58.36
Kilicdaroglu; 39.20
Ince; 1.36
Ogan; 1.07

Samsun
Erdogan; 52.54
Kilicdaroglu; 44.48
Ince; 1.70
Ogan; 1.27

Siirt
Erdogan; 40.84
Kilicdaroglu; 58.64
Ince; 0.25
Ogan; 0.26

Sinop
Erdogan; 48.11
Kilicdaroglu; 48.99
Ince; 2.26
Ogan; 0.64

Sivas
Erdogan; 60.02
Kilicdaroglu; 37.15
Ince; 1.44
Ogan; 1.39

Sanliurfa
Erdogan; 58.98
Kilicdaroglu; 40.00
Ince; 0.37
Ogan; 0.66

Sirnak
Erdogan; 22.56
Kilicdaroglu; 76.86
Ince; 0.27
Ogan; 0.30

Tekirdag
Erdogan; 27.74
Kilicdaroglu; 68.08
Ince; 3.48
Ogan; 0.70

Tokat
Erdogan; 50.57
Kilicdaroglu; 46.23
Ince; 1.95
Ogan; 1.26

Trabzon
Erdogan; 54.92
Kilicdaroglu; 42.46
Ince; 1.52
Ogan; 1.10

Tunceli
Erdogan; 16.32
Kilicdaroglu; 81.02
Ince; 2.25
Ogan; 0.41

Usak
Erdogan; 38.10
Kilicdaroglu; 58.32
Ince; 2.66
Ogan; 0.92

Van
Erdogan; 32.28
Kilicdaroglu; 67.25
Ince; 0.25
Ogan; 0.23

Yalova
Erdogan; 37.92
Kilicdaroglu; 58.76
Ince; 2.63
Ogan; 0.69

Yozgat
Erdogan; 63.04
Kilicdaroglu; 34.07
Ince; 1.13
Ogan; 1.76

Zonguldak
Erdogan; 41.57
Kilicdaroglu; 54.78
Ince; 2.79
Ogan; 0.86

